,current_user_id,Time,Event context,Component,Event name,Description,Origin,IP address
0,9712,"30/09/22, 21:58",Assignment: Activity 3: Editing Characters and Uploading Backgrounds,Assignment,The status of the submission has been viewed.,The user with id '9712' has viewed the submission status page for the assignment with course module id '62716'.,web,181.58.44.233
1,9712,"30/09/22, 21:58",Assignment: Activity 3: Editing Characters and Uploading Backgrounds,Assignment,Feedback viewed,The user with id '9712' viewed the feedback for the user with id '9712' for the assignment with course module id '62716'.,web,181.58.44.233
2,9712,"30/09/22, 21:58",Assignment: Activity 3: Editing Characters and Uploading Backgrounds,Assignment,Course module viewed,The user with id '9712' viewed the 'assign' activity with course module id '62716'.,web,181.58.44.233
3,9698,"30/09/22, 18:35",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,The status of the submission has been viewed.,The user with id '9698' has viewed the submission status page for the assignment with course module id '62776'.,web,186.28.38.12
4,9698,"30/09/22, 18:35",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9698' viewed the 'assign' activity with course module id '62776'.,web,186.28.38.12
5,9753,"30/09/22, 18:12",Assignment: Activity 3: Editing Characters and Uploading Backgrounds,User tours,Step shown,The user with id '9753' has viewed the tour with id '8' at step index '0' (id '32') on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62716'.,web,190.24.62.50
6,9753,"30/09/22, 18:12",Assignment: Activity 3: Editing Characters and Uploading Backgrounds,User tours,Tour started,The user with id '9753' has started the tour with id '8' on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62716'.,web,190.24.62.50
7,9753,"30/09/22, 18:12",Assignment: Activity 3: Editing Characters and Uploading Backgrounds,Assignment,The status of the submission has been viewed.,The user with id '9753' has viewed the submission status page for the assignment with course module id '62716'.,web,190.24.62.50
8,9753,"30/09/22, 18:12",Assignment: Activity 3: Editing Characters and Uploading Backgrounds,Assignment,Feedback viewed,The user with id '9753' viewed the feedback for the user with id '9753' for the assignment with course module id '62716'.,web,190.24.62.50
9,9753,"30/09/22, 18:12",Assignment: Activity 3: Editing Characters and Uploading Backgrounds,Assignment,Course module viewed,The user with id '9753' viewed the 'assign' activity with course module id '62716'.,web,190.24.62.50
