,current_user_id,Time,Event context,Component,Event name,Description,Origin,IP address
0,9691,"30/09/22, 21:37",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,The status of the submission has been viewed.,The user with id '9691' has viewed the submission status page for the assignment with course module id '62776'.,web,190.250.4.194
1,9691,"30/09/22, 21:37",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9691' viewed the 'assign' activity with course module id '62776'.,web,190.250.4.194
2,9748,"30/09/22, 17:04",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Step shown,The user with id '9748' has viewed the tour with id '8' at step index '0' (id '32') on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776&action=view'.,web,181.56.115.101
3,9748,"30/09/22, 17:03",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Tour started,The user with id '9748' has started the tour with id '8' on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776&action=view'.,web,181.56.115.101
4,9748,"30/09/22, 17:03",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,The status of the submission has been viewed.,The user with id '9748' has viewed the submission status page for the assignment with course module id '62776'.,web,181.56.115.101
5,9748,"30/09/22, 17:03",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9748' viewed the 'assign' activity with course module id '62776'.,web,181.56.115.101
6,9748,"30/09/22, 17:03",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,A submission has been submitted.,The user with id '9748' has submitted the submission with id '276481' for the assignment with course module id '62776'.,web,181.56.115.101
7,9748,"30/09/22, 17:03",Assignment: Activity 4: Project  (Using all Learnt Code),Online text submissions,Submission created.,The user with id '9748' created an online text submission with '1' words in the assignment with course module id '62776'.,web,181.56.115.101
8,9748,"30/09/22, 17:03",Assignment: Activity 4: Project  (Using all Learnt Code),Online text submissions,An online text has been uploaded.,The user with id '9748' has saved an online text submission with id '276481' in the assignment activity with course module id '62776'.,web,181.56.115.101
9,9748,"30/09/22, 17:03",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9748' viewed the 'assign' activity with course module id '62776'.,web,181.56.115.101
10,9748,"30/09/22, 17:03",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Step shown,The user with id '9748' has viewed the tour with id '8' at step index '0' (id '32') on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776&action=editsubmission'.,web,181.56.115.101
11,9748,"30/09/22, 17:03",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Tour started,The user with id '9748' has started the tour with id '8' on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776&action=editsubmission'.,web,181.56.115.101
12,9748,"30/09/22, 17:03",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Submission form viewed.,The user with id '9748' viewed their submission for the assignment with course module id '62776'.,web,181.56.115.101
13,9748,"30/09/22, 17:03",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9748' viewed the 'assign' activity with course module id '62776'.,web,181.56.115.101
14,9748,"30/09/22, 17:03",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Step shown,The user with id '9748' has viewed the tour with id '8' at step index '0' (id '32') on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776'.,web,181.56.115.101
15,9748,"30/09/22, 17:03",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Tour started,The user with id '9748' has started the tour with id '8' on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776'.,web,181.56.115.101
16,9748,"30/09/22, 17:03",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,The status of the submission has been viewed.,The user with id '9748' has viewed the submission status page for the assignment with course module id '62776'.,web,181.56.115.101
17,9748,"30/09/22, 17:03",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9748' viewed the 'assign' activity with course module id '62776'.,web,181.56.115.101
18,9748,"30/09/22, 16:22",Course: Tecnologías de la Información Quinto,System,Course viewed,The user with id '9748' viewed the section number '1' of the course with id '187'.,web,181.56.115.101
19,9748,"30/09/22, 16:22",Course: Tecnologías de la Información Quinto,System,Course viewed,The user with id '9748' viewed the course with id '187'.,web,181.56.115.101
20,9760,"30/09/22, 08:46",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Step shown,The user with id '9760' has viewed the tour with id '8' at step index '0' (id '32') on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776&action=view'.,web,201.217.216.162
21,9760,"30/09/22, 08:46",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Tour started,The user with id '9760' has started the tour with id '8' on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776&action=view'.,web,201.217.216.162
22,9760,"30/09/22, 08:46",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,The status of the submission has been viewed.,The user with id '9760' has viewed the submission status page for the assignment with course module id '62776'.,web,201.217.216.162
23,9760,"30/09/22, 08:46",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9760' viewed the 'assign' activity with course module id '62776'.,web,201.217.216.162
24,9760,"30/09/22, 08:46",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,A submission has been submitted.,The user with id '9760' has submitted the submission with id '276490' for the assignment with course module id '62776'.,web,201.217.216.162
25,9760,"30/09/22, 08:46",Assignment: Activity 4: Project  (Using all Learnt Code),Online text submissions,Submission created.,The user with id '9760' created an online text submission with '1' words in the assignment with course module id '62776'.,web,201.217.216.162
26,9760,"30/09/22, 08:46",Assignment: Activity 4: Project  (Using all Learnt Code),Online text submissions,An online text has been uploaded.,The user with id '9760' has saved an online text submission with id '276490' in the assignment activity with course module id '62776'.,web,201.217.216.162
27,9760,"30/09/22, 08:46",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9760' viewed the 'assign' activity with course module id '62776'.,web,201.217.216.162
