,current_user_id,Time,Event context,Component,Event name,Description,Origin,IP address
0,9829,"29/09/22, 16:30",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Step shown,The user with id '9829' has viewed the tour with id '8' at step index '0' (id '32') on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776'.,web,3.138.67.21
1,9829,"29/09/22, 16:30",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Tour started,The user with id '9829' has started the tour with id '8' on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776'.,web,3.138.67.21
2,9829,"29/09/22, 16:30",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,The status of the submission has been viewed.,The user with id '9829' has viewed the submission status page for the assignment with course module id '62776'.,web,3.138.67.21
3,9829,"29/09/22, 16:30",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9829' viewed the 'assign' activity with course module id '62776'.,web,3.138.67.21
4,9829,"29/09/22, 16:30",Course: Tecnologías de la Información Quinto,System,Course viewed,The user with id '9829' viewed the section number '1' of the course with id '187'.,web,3.138.67.21
5,9829,"29/09/22, 16:29",Course: Tecnologías de la Información Quinto,System,Course viewed,The user with id '9829' viewed the course with id '187'.,web,3.138.67.21
6,9764,"28/09/22, 19:50",Assignment: Adding (2b) Extensions: Drawing with Pen,User tours,Step shown,The user with id '9764' has viewed the tour with id '8' at step index '0' (id '32') on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62714'.,web,181.61.70.125
7,9764,"28/09/22, 19:50",Assignment: Adding (2b) Extensions: Drawing with Pen,User tours,Tour started,The user with id '9764' has started the tour with id '8' on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62714'.,web,181.61.70.125
8,9764,"28/09/22, 19:50",Assignment: Adding (2b) Extensions: Drawing with Pen,Assignment,The status of the submission has been viewed.,The user with id '9764' has viewed the submission status page for the assignment with course module id '62714'.,web,181.61.70.125
9,9764,"28/09/22, 19:50",Assignment: Adding (2b) Extensions: Drawing with Pen,Assignment,Feedback viewed,The user with id '9764' viewed the feedback for the user with id '9764' for the assignment with course module id '62714'.,web,181.61.70.125
10,9764,"28/09/22, 19:50",Assignment: Adding (2b) Extensions: Drawing with Pen,Assignment,Course module viewed,The user with id '9764' viewed the 'assign' activity with course module id '62714'.,web,181.61.70.125
11,9786,"28/09/22, 19:09",Assignment: Activity 3: Editing Characters and Uploading Backgrounds,Assignment,The status of the submission has been viewed.,The user with id '9786' has viewed the submission status page for the assignment with course module id '62716'.,web,186.145.58.112
12,9786,"28/09/22, 19:09",Assignment: Activity 3: Editing Characters and Uploading Backgrounds,Assignment,Course module viewed,The user with id '9786' viewed the 'assign' activity with course module id '62716'.,web,186.145.58.112
