,current_user_id,Time,Event context,Component,Event name,Description,Origin,IP address
0,9811,"30/09/22, 20:04",Course: Tecnologías de la Información Quinto,Assignment,Course module instance list viewed,The user with id '9811' viewed the instance list for the module 'assign' in the course with id '187'.,web,190.24.61.8
1,9774,"30/09/22, 19:11",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Step shown,The user with id '9774' has viewed the tour with id '8' at step index '0' (id '32') on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776&action=view'.,web,186.83.0.178
2,9774,"30/09/22, 19:11",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Tour started,The user with id '9774' has started the tour with id '8' on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776&action=view'.,web,186.83.0.178
3,9774,"30/09/22, 19:11",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,The status of the submission has been viewed.,The user with id '9774' has viewed the submission status page for the assignment with course module id '62776'.,web,186.83.0.178
4,9774,"30/09/22, 19:11",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9774' viewed the 'assign' activity with course module id '62776'.,web,186.83.0.178
5,9774,"30/09/22, 19:11",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,A submission has been submitted.,The user with id '9774' has submitted the submission with id '277230' for the assignment with course module id '62776'.,web,186.83.0.178
6,9774,"30/09/22, 19:11",Assignment: Activity 4: Project  (Using all Learnt Code),Online text submissions,Submission created.,The user with id '9774' created an online text submission with '1' words in the assignment with course module id '62776'.,web,186.83.0.178
7,9774,"30/09/22, 19:11",Assignment: Activity 4: Project  (Using all Learnt Code),Online text submissions,An online text has been uploaded.,The user with id '9774' has saved an online text submission with id '277230' in the assignment activity with course module id '62776'.,web,186.83.0.178
8,9774,"30/09/22, 19:11",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9774' viewed the 'assign' activity with course module id '62776'.,web,186.83.0.178
9,9774,"30/09/22, 19:10",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Step shown,The user with id '9774' has viewed the tour with id '8' at step index '0' (id '32') on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776&action=editsubmission'.,web,186.83.0.178
10,9774,"30/09/22, 19:10",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Tour started,The user with id '9774' has started the tour with id '8' on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776&action=editsubmission'.,web,186.83.0.178
11,9774,"30/09/22, 19:10",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Submission form viewed.,The user with id '9774' viewed their submission for the assignment with course module id '62776'.,web,186.83.0.178
12,9774,"30/09/22, 19:10",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9774' viewed the 'assign' activity with course module id '62776'.,web,186.83.0.178
13,9774,"30/09/22, 19:10",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Step shown,The user with id '9774' has viewed the tour with id '8' at step index '0' (id '32') on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776'.,web,186.83.0.178
14,9774,"30/09/22, 19:10",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Tour started,The user with id '9774' has started the tour with id '8' on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776'.,web,186.83.0.178
15,9774,"30/09/22, 19:10",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,The status of the submission has been viewed.,The user with id '9774' has viewed the submission status page for the assignment with course module id '62776'.,web,186.83.0.178
16,9774,"30/09/22, 19:10",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9774' viewed the 'assign' activity with course module id '62776'.,web,186.83.0.178
17,9774,"30/09/22, 19:09",Course: Tecnologías de la Información Quinto,System,Course viewed,The user with id '9774' viewed the section number '1' of the course with id '187'.,web,186.83.0.178
18,9774,"30/09/22, 18:04",Page: CLASS PRESENTATIONS,Page,Course module viewed,The user with id '9774' viewed the 'page' activity with course module id '63670'.,web,186.83.0.178
19,9774,"30/09/22, 18:03",Page: CLASS PRESENTATIONS,Page,Course module viewed,The user with id '9774' viewed the 'page' activity with course module id '63670'.,web,186.83.0.178
20,9774,"30/09/22, 18:03",Course: Tecnologías de la Información Quinto,System,Course viewed,The user with id '9774' viewed the section number '1' of the course with id '187'.,web,186.83.0.178
21,9774,"30/09/22, 18:00",Course: Tecnologías de la Información Quinto,System,Course viewed,The user with id '9774' viewed the course with id '187'.,web,186.83.0.178
22,9774,"30/09/22, 18:00",Course: Tecnologías de la Información Quinto,System,Course viewed,The user with id '9774' viewed the section number '1' of the course with id '187'.,web,186.83.0.178
23,9774,"30/09/22, 17:57",Assignment: Activty 2: Cartesian Plane and Motion,User tours,Step shown,The user with id '9774' has viewed the tour with id '8' at step index '0' (id '32') on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62711'.,web,186.83.0.178
24,9774,"30/09/22, 17:57",Assignment: Activty 2: Cartesian Plane and Motion,User tours,Tour started,The user with id '9774' has started the tour with id '8' on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62711'.,web,186.83.0.178
25,9774,"30/09/22, 17:57",Assignment: Activty 2: Cartesian Plane and Motion,Assignment,The status of the submission has been viewed.,The user with id '9774' has viewed the submission status page for the assignment with course module id '62711'.,web,186.83.0.178
26,9774,"30/09/22, 17:57",Assignment: Activty 2: Cartesian Plane and Motion,Assignment,Feedback viewed,The user with id '9774' viewed the feedback for the user with id '9774' for the assignment with course module id '62711'.,web,186.83.0.178
27,9774,"30/09/22, 17:57",Assignment: Activty 2: Cartesian Plane and Motion,Assignment,Course module viewed,The user with id '9774' viewed the 'assign' activity with course module id '62711'.,web,186.83.0.178
28,9774,"30/09/22, 17:57",Course: Tecnologías de la Información Quinto,System,Course viewed,The user with id '9774' viewed the section number '1' of the course with id '187'.,web,186.83.0.178
29,9774,"30/09/22, 17:54",Course: Tecnologías de la Información Quinto,System,Course viewed,The user with id '9774' viewed the course with id '187'.,web,186.83.0.178
30,9774,"30/09/22, 17:41",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Step shown,The user with id '9774' has viewed the tour with id '8' at step index '0' (id '32') on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776'.,web,186.83.0.178
31,9774,"30/09/22, 17:41",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Tour started,The user with id '9774' has started the tour with id '8' on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776'.,web,186.83.0.178
32,9774,"30/09/22, 17:41",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,The status of the submission has been viewed.,The user with id '9774' has viewed the submission status page for the assignment with course module id '62776'.,web,186.83.0.178
33,9774,"30/09/22, 17:41",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9774' viewed the 'assign' activity with course module id '62776'.,web,186.83.0.178
34,9774,"30/09/22, 17:41",Course: Tecnologías de la Información Quinto,System,Course viewed,The user with id '9774' viewed the section number '1' of the course with id '187'.,web,186.83.0.178
35,9774,"30/09/22, 17:41",Course: Tecnologías de la Información Quinto,System,Course viewed,The user with id '9774' viewed the course with id '187'.,web,186.83.0.178
36,9821,"30/09/22, 17:38",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Step shown,The user with id '9821' has viewed the tour with id '8' at step index '0' (id '32') on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776&action=view'.,web,201.244.172.22
37,9821,"30/09/22, 17:38",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Tour started,The user with id '9821' has started the tour with id '8' on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776&action=view'.,web,201.244.172.22
38,9821,"30/09/22, 17:38",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,The status of the submission has been viewed.,The user with id '9821' has viewed the submission status page for the assignment with course module id '62776'.,web,201.244.172.22
39,9821,"30/09/22, 17:38",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9821' viewed the 'assign' activity with course module id '62776'.,web,201.244.172.22
40,9821,"30/09/22, 17:38",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,A submission has been submitted.,The user with id '9821' has submitted the submission with id '276759' for the assignment with course module id '62776'.,web,201.244.172.22
41,9821,"30/09/22, 17:38",Assignment: Activity 4: Project  (Using all Learnt Code),Online text submissions,Submission created.,The user with id '9821' created an online text submission with '1' words in the assignment with course module id '62776'.,web,201.244.172.22
42,9821,"30/09/22, 17:38",Assignment: Activity 4: Project  (Using all Learnt Code),Online text submissions,An online text has been uploaded.,The user with id '9821' has saved an online text submission with id '276759' in the assignment activity with course module id '62776'.,web,201.244.172.22
43,9821,"30/09/22, 17:38",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9821' viewed the 'assign' activity with course module id '62776'.,web,201.244.172.22
44,9821,"30/09/22, 17:38",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Step shown,The user with id '9821' has viewed the tour with id '8' at step index '0' (id '32') on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776&action=editsubmission'.,web,201.244.172.22
45,9821,"30/09/22, 17:38",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Tour started,The user with id '9821' has started the tour with id '8' on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776&action=editsubmission'.,web,201.244.172.22
46,9821,"30/09/22, 17:38",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Submission form viewed.,The user with id '9821' viewed their submission for the assignment with course module id '62776'.,web,201.244.172.22
47,9821,"30/09/22, 17:38",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9821' viewed the 'assign' activity with course module id '62776'.,web,201.244.172.22
48,9821,"30/09/22, 17:38",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Step shown,The user with id '9821' has viewed the tour with id '8' at step index '0' (id '32') on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776'.,web,201.244.172.22
49,9821,"30/09/22, 17:38",Assignment: Activity 4: Project  (Using all Learnt Code),User tours,Tour started,The user with id '9821' has started the tour with id '8' on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62776'.,web,201.244.172.22
50,9821,"30/09/22, 17:38",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,The status of the submission has been viewed.,The user with id '9821' has viewed the submission status page for the assignment with course module id '62776'.,web,201.244.172.22
51,9821,"30/09/22, 17:38",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9821' viewed the 'assign' activity with course module id '62776'.,web,201.244.172.22
52,9821,"30/09/22, 17:37",Course: Tecnologías de la Información Quinto,System,Course viewed,The user with id '9821' viewed the section number '1' of the course with id '187'.,web,201.244.172.22
53,9821,"30/09/22, 17:37",Course: Tecnologías de la Información Quinto,System,Course viewed,The user with id '9821' viewed the course with id '187'.,web,201.244.172.22
54,9821,"30/09/22, 16:01",Course: Tecnologías de la Información Quinto,System,Course viewed,The user with id '9821' viewed the section number '1' of the course with id '187'.,web,201.244.172.22
55,9821,"30/09/22, 16:01",Course: Tecnologías de la Información Quinto,System,Course viewed,The user with id '9821' viewed the course with id '187'.,web,201.244.172.22
56,9811,"30/09/22, 14:12",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Submission form viewed.,The user with id '9811' viewed their submission for the assignment with course module id '62776'.,web,201.217.216.162
57,9811,"30/09/22, 14:12",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9811' viewed the 'assign' activity with course module id '62776'.,web,201.217.216.162
58,9811,"30/09/22, 14:12",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Submission form viewed.,The user with id '9811' viewed their submission for the assignment with course module id '62776'.,web,201.217.216.162
59,9811,"30/09/22, 14:12",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9811' viewed the 'assign' activity with course module id '62776'.,web,201.217.216.162
60,9811,"30/09/22, 14:12",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,The status of the submission has been viewed.,The user with id '9811' has viewed the submission status page for the assignment with course module id '62776'.,web,201.217.216.162
61,9811,"30/09/22, 14:12",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9811' viewed the 'assign' activity with course module id '62776'.,web,201.217.216.162
62,9811,"30/09/22, 14:12",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,A submission has been submitted.,The user with id '9811' has submitted the submission with id '276767' for the assignment with course module id '62776'.,web,201.217.216.162
63,9811,"30/09/22, 14:12",Assignment: Activity 4: Project  (Using all Learnt Code),Online text submissions,Submission created.,The user with id '9811' created an online text submission with '1' words in the assignment with course module id '62776'.,web,201.217.216.162
64,9811,"30/09/22, 14:12",Assignment: Activity 4: Project  (Using all Learnt Code),Online text submissions,An online text has been uploaded.,The user with id '9811' has saved an online text submission with id '276767' in the assignment activity with course module id '62776'.,web,201.217.216.162
65,9811,"30/09/22, 14:12",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9811' viewed the 'assign' activity with course module id '62776'.,web,201.217.216.162
66,9811,"30/09/22, 14:12",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Submission form viewed.,The user with id '9811' viewed their submission for the assignment with course module id '62776'.,web,201.217.216.162
67,9811,"30/09/22, 14:12",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,Course module viewed,The user with id '9811' viewed the 'assign' activity with course module id '62776'.,web,201.217.216.162
68,9811,"30/09/22, 14:12",Assignment: Activity 4: Project  (Using all Learnt Code),Assignment,The status of the submission has been viewed.,The user with id '9811' has viewed the submission status page for the assignment with course module id '62776'.,web,201.217.216.162
