,current_user_id,Time,Event context,Component,Event name,Description,Origin,IP address
0,9564,"28/09/22, 18:24",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9564' viewed the section number '1' of the course with id '186'.,web,191.111.40.230
1,9564,"28/09/22, 18:23",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9564' viewed the course with id '186'.,web,191.111.40.230
2,9585,"27/09/22, 19:57",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9585' viewed the course with id '186'.,web,190.25.56.144
3,9541,"27/09/22, 18:52",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9541' viewed the section number '1' of the course with id '186'.,web,186.114.6.5
4,9541,"27/09/22, 18:52",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9541' viewed the course with id '186'.,web,186.114.6.5
5,9583,"27/09/22, 18:06",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9583' viewed the section number '1' of the course with id '186'.,web,186.155.197.200
6,9583,"27/09/22, 17:48",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9583' viewed the section number '1' of the course with id '186'.,web,186.155.197.200
7,9583,"27/09/22, 17:47",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9583' viewed the course with id '186'.,web,186.155.197.200
8,9572,"27/09/22, 14:06",Page: CLASS PRESENTATIONS,Page,Course module viewed,The user with id '9572' viewed the 'page' activity with course module id '63649'.,web,201.217.216.162
9,9572,"27/09/22, 14:06",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9572' viewed the section number '1' of the course with id '186'.,web,201.217.216.162
10,9541,"27/09/22, 14:00",Assignment: Activity 4 My Dream Job,User tours,Step shown,The user with id '9541' has viewed the tour with id '8' at step index '0' (id '32') on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62757'.,web,201.217.216.162
11,9541,"27/09/22, 14:00",Assignment: Activity 4 My Dream Job,User tours,Tour started,The user with id '9541' has started the tour with id '8' on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62757'.,web,201.217.216.162
12,9541,"27/09/22, 14:00",Assignment: Activity 4 My Dream Job,Assignment,The status of the submission has been viewed.,The user with id '9541' has viewed the submission status page for the assignment with course module id '62757'.,web,201.217.216.162
13,9541,"27/09/22, 14:00",Assignment: Activity 4 My Dream Job,Assignment,Course module viewed,The user with id '9541' viewed the 'assign' activity with course module id '62757'.,web,201.217.216.162
14,9597,"27/09/22, 13:59",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9597' viewed the section number '1' of the course with id '186'.,web,201.217.216.162
15,9597,"27/09/22, 13:59",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9597' viewed the course with id '186'.,web,190.144.167.253
16,9541,"27/09/22, 13:59",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9541' viewed the section number '1' of the course with id '186'.,web,201.217.216.162
17,9541,"27/09/22, 13:59",Page: CLASS PRESENTATIONS,Page,Course module viewed,The user with id '9541' viewed the 'page' activity with course module id '63649'.,web,201.217.216.162
18,9572,"27/09/22, 13:58",Assignment: Activity 4 My Dream Job,User tours,Step shown,The user with id '9572' has viewed the tour with id '8' at step index '0' (id '32') on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62757'.,web,201.217.216.162
19,9572,"27/09/22, 13:58",Assignment: Activity 4 My Dream Job,User tours,Tour started,The user with id '9572' has started the tour with id '8' on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62757'.,web,201.217.216.162
20,9572,"27/09/22, 13:58",Assignment: Activity 4 My Dream Job,Assignment,The status of the submission has been viewed.,The user with id '9572' has viewed the submission status page for the assignment with course module id '62757'.,web,190.144.167.253
21,9572,"27/09/22, 13:58",Assignment: Activity 4 My Dream Job,Assignment,Course module viewed,The user with id '9572' viewed the 'assign' activity with course module id '62757'.,web,190.144.167.253
22,9572,"27/09/22, 13:58",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9572' viewed the section number '1' of the course with id '186'.,web,190.144.167.253
23,9559,"27/09/22, 13:54",Assignment: Activity 4 My Dream Job,User tours,Step shown,The user with id '9559' has viewed the tour with id '8' at step index '0' (id '32') on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62757'.,web,201.217.216.162
24,9559,"27/09/22, 13:54",Assignment: Activity 4 My Dream Job,User tours,Tour started,The user with id '9559' has started the tour with id '8' on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62757'.,web,201.217.216.162
25,9559,"27/09/22, 13:54",Assignment: Activity 4 My Dream Job,Assignment,The status of the submission has been viewed.,The user with id '9559' has viewed the submission status page for the assignment with course module id '62757'.,web,201.217.216.162
26,9559,"27/09/22, 13:54",Assignment: Activity 4 My Dream Job,Assignment,Course module viewed,The user with id '9559' viewed the 'assign' activity with course module id '62757'.,web,201.217.216.162
27,9550,"27/09/22, 13:50",Assignment: Activity 4 My Dream Job,User tours,Step shown,The user with id '9550' has viewed the tour with id '8' at step index '0' (id '32') on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62757'.,web,201.217.216.162
28,9550,"27/09/22, 13:50",Assignment: Activity 4 My Dream Job,User tours,Tour started,The user with id '9550' has started the tour with id '8' on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62757'.,web,201.217.216.162
29,9550,"27/09/22, 13:50",Assignment: Activity 4 My Dream Job,Assignment,The status of the submission has been viewed.,The user with id '9550' has viewed the submission status page for the assignment with course module id '62757'.,web,201.217.216.162
30,9550,"27/09/22, 13:50",Assignment: Activity 4 My Dream Job,Assignment,Course module viewed,The user with id '9550' viewed the 'assign' activity with course module id '62757'.,web,201.217.216.162
