,current_user_id,Time,Event context,Component,Event name,Description,Origin,IP address
0,9643,"29/09/22, 19:13",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9643' viewed the section number '1' of the course with id '186'.,web,190.27.6.180
1,9643,"29/09/22, 19:13",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9643' viewed the course with id '186'.,web,190.27.6.180
2,9651,"29/09/22, 13:38",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9651' viewed the course with id '186'.,web,186.155.14.70
3,9651,"29/09/22, 13:38",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9651' viewed the section number '1' of the course with id '186'.,web,186.155.14.70
4,9651,"29/09/22, 13:38",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9651' viewed the section number '1' of the course with id '186'.,web,186.155.14.70
5,9651,"29/09/22, 13:36",Assignment: Activity 4 My Dream Job,User tours,Step shown,The user with id '9651' has viewed the tour with id '8' at step index '0' (id '32') on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62757'.,web,186.155.14.70
6,9651,"29/09/22, 13:36",Assignment: Activity 4 My Dream Job,User tours,Tour started,The user with id '9651' has started the tour with id '8' on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62757'.,web,186.155.14.70
7,9651,"29/09/22, 13:36",Assignment: Activity 4 My Dream Job,Assignment,The status of the submission has been viewed.,The user with id '9651' has viewed the submission status page for the assignment with course module id '62757'.,web,186.155.14.70
8,9651,"29/09/22, 13:36",Assignment: Activity 4 My Dream Job,Assignment,Course module viewed,The user with id '9651' viewed the 'assign' activity with course module id '62757'.,web,186.155.14.70
9,9651,"29/09/22, 13:36",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9651' viewed the section number '1' of the course with id '186'.,web,186.155.14.70
10,9651,"29/09/22, 13:36",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9651' viewed the course with id '186'.,web,186.155.14.70
11,9628,"29/09/22, 11:51",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9628' viewed the section number '1' of the course with id '186'.,web,201.217.216.162
12,9628,"29/09/22, 11:51",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9628' viewed the course with id '186'.,web,201.217.216.162
13,9628,"29/09/22, 11:51",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9628' viewed the section number '1' of the course with id '186'.,web,201.217.216.162
14,9678,"29/09/22, 11:46",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9678' viewed the course with id '186'.,web,201.217.216.162
15,9625,"29/09/22, 11:46",Lightbox Gallery: Project 1 Example (Dream Job),Lightbox Gallery,Course module viewed,The user with id '9625' viewed the 'lightboxgallery' activity with course module id '63792'.,web,201.217.216.162
16,9625,"29/09/22, 11:46",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9625' viewed the section number '1' of the course with id '186'.,web,201.217.216.162
17,9677,"29/09/22, 11:46",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9677' viewed the section number '1' of the course with id '186'.,web,201.217.216.162
18,9677,"29/09/22, 11:46",Lightbox Gallery: Project 1 Example (Dream Job),Lightbox Gallery,Course module viewed,The user with id '9677' viewed the 'lightboxgallery' activity with course module id '63792'.,web,201.217.216.162
19,9653,"29/09/22, 11:45",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9653' viewed the section number '1' of the course with id '186'.,web,190.144.167.253
20,9653,"29/09/22, 11:45",Course: Tecnologías de la Información Cuarto,System,Course viewed,The user with id '9653' viewed the course with id '186'.,web,190.144.167.253
21,9683,"29/09/22, 11:45",Assignment: Activity 4 My Dream Job,User tours,Step shown,The user with id '9683' has viewed the tour with id '8' at step index '0' (id '32') on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62757'.,web,201.217.216.162
22,9683,"29/09/22, 11:45",Assignment: Activity 4 My Dream Job,User tours,Tour started,The user with id '9683' has started the tour with id '8' on the page with URL 'https://aula.gimnasiovermont.edu.co/mod/assign/view.php?id=62757'.,web,201.217.216.162
23,9683,"29/09/22, 11:45",Assignment: Activity 4 My Dream Job,Assignment,The status of the submission has been viewed.,The user with id '9683' has viewed the submission status page for the assignment with course module id '62757'.,web,201.217.216.162
24,9683,"29/09/22, 11:45",Assignment: Activity 4 My Dream Job,Assignment,Course module viewed,The user with id '9683' viewed the 'assign' activity with course module id '62757'.,web,201.217.216.162
